name,address,website,tel,mapsUrl,openHours,category,rating
TURGUT OTO YIKAMA,"Darıcı, 5791 Sk. No:1, 81100 Düzce Merkez/Düzce", ,0532 223 14 25,"https://www.google.com/maps/place/TURGUT+OTO+YIKAMA/@40.8438464,31.15654,14z/data=!4m8!1m2!2m1!1soto+y%C4%B1kama!3m4!1s0x409d758f27374f79:0x6f17cf4244e4073b!8m2!3d40.827064!4d31.1517934","Çarşamba,08:30 - 20:00; Perşembe,08:30 - 20:00; Cuma,08:30 - 20:00; Cumartesi,08:30 - 20:00; Pazar,08:30 - 20:00; Pazartesi,08:30 - 20:00; Salı,08:30 - 20:00.",Araba Yıkama,"4,5"
Crazy Oto Yıkama,"Azmimilli, Gazhane Cd., 81020 Düzce Merkez/Düzce", , ,"https://www.google.com/maps/place/Crazy+Oto+Y%C4%B1kama/@40.8438464,31.15654,14z/data=!4m8!1m2!2m1!1soto+y%C4%B1kama!3m4!1s0x409d75407fa758bf:0x4f7ceb9765aa25f7!8m2!3d40.831518!4d31.168584", ,Araba Yıkama,"5,0"
Çise Oto Yıkama,"Camikebir, Murat Reis Sk., 81020 Düzce Merkez/Düzce", , ,"https://www.google.com/maps/place/%C3%87ise+Oto+Y%C4%B1kama/@40.8438464,31.15654,14z/data=!4m8!1m2!2m1!1soto+y%C4%B1kama!3m4!1s0x409d7558d79243f9:0x3ef7e593afca6f3a!8m2!3d40.839752!4d31.151102", ,Araba Yıkama, 
Kastamonu Oto Yıkama,"Cumhuriyet, D100 Yanyolu, 81600 Düzce Merkez/Düzce", , ,"https://www.google.com/maps/place/Kastamonu+Oto+Y%C4%B1kama/@40.8438464,31.15654,14z/data=!4m8!1m2!2m1!1soto+y%C4%B1kama!3m4!1s0x409d753a4a79a441:0x6b7f035329e4f98c!8m2!3d40.832953!4d31.180364", ,Araba Yıkama,"4,8"
Burak Oto Yıkama,"Kültür, Lale Sk., 81600 Düzce Merkez/Düzce", , ,"https://www.google.com/maps/place/Burak+Oto+Y%C4%B1kama/@40.8438464,31.15654,14z/data=!4m8!1m2!2m1!1soto+y%C4%B1kama!3m4!1s0x409d7557d25e8241:0xea0faee63f701a02!8m2!3d40.844985!4d31.154546", ,Araba Yıkama,"4,0"
Viraj oto yıkama,"Aziziye, Şht. Ramazan Gel Cd. No:55, 81010 Düzce Merkez/Düzce", , ,"https://www.google.com/maps/place/Viraj+oto+y%C4%B1kama/@40.8438464,31.15654,14z/data=!4m8!1m2!2m1!1soto+y%C4%B1kama!3m4!1s0x409d9fe8d0c94c07:0x405da12b5067b1f7!8m2!3d40.8440232!4d31.133372", ,Araba Yıkama,"4,5"
Class Oto Kuaför Düzce,"Hamidiye Mah. Karayolu Cad., D100, 81030 Düzce Merkez/Düzce", ,(0380) 526 18 07,"https://www.google.com/maps/place/Class+Oto+Kuaf%C3%B6r+D%C3%BCzce/@40.8438464,31.15654,14z/data=!4m8!1m2!2m1!1soto+y%C4%B1kama!3m4!1s0x409d7555ece1d281:0x22269eb8c7751a67!8m2!3d40.847509!4d31.158021","Çarşamba,09:00 - 22:00; Perşembe,09:00 - 22:00; Cuma,09:00 - 22:00; Cumartesi,09:00 - 22:00; Pazar,09:00 - 22:00; Pazartesi,09:00 - 22:00; Salı,09:00 - 22:00.",Oto Döşemeci,"4,1"
2011 Oto Yıkama,"Aziziye, İstanbul Cd., 81010 Düzce Merkez/Düzce", , ,"https://www.google.com/maps/place/2011+Oto+Y%C4%B1kama/@40.8438464,31.15654,14z/data=!4m9!1m3!2m2!1soto+y%C4%B1kama!6e2!3m4!1s0x409d9fe72a1cea45:0xd981442249266744!8m2!3d40.840285!4d31.139617", ,Araba Yıkama,"1,0"
Tuğra Oto Yıkama,"Burhaniye, D100 Yanyolu, 81010 Düzce Merkez/Düzce", , ,"https://www.google.com/maps/place/Tu%C4%9Fra+Oto+Y%C4%B1kama/@40.8438464,31.15654,14z/data=!4m9!1m3!2m2!1soto+y%C4%B1kama!6e2!3m4!1s0x409d755216f5e81b:0xfe69aaeca9d193cf!8m2!3d40.844487!4d31.1671311", ,Araba Yıkama,"5,0"
Duru Oto Yıkama,"Kültür, Kuyumcuzade Blv., 81600 Düzce Merkez/Düzce", , ,"https://www.google.com/maps/place/Duru+Oto+Y%C4%B1kama/@40.8438464,31.15654,14z/data=!4m9!1m3!2m2!1soto+y%C4%B1kama!6e2!3m4!1s0x409d9ffc4ab7924f:0xeaab13058feebba5!8m2!3d40.846965!4d31.152127", ,Araba Yıkama, 
Es Oto Yikama,"Hamidiye, 81030 Düzce Merkez/Düzce", , ,"https://www.google.com/maps/place/Es+Oto+Yikama/@40.8438464,31.15654,14z/data=!4m9!1m3!2m2!1soto+y%C4%B1kama!6e2!3m4!1s0x409d9ffe1e51228f:0xf52348f4eb31680f!8m2!3d40.8477603!4d31.1568855", ,Araba Yıkama, 
Meguiar's oto yıkama,"Aziziye, Nezih Tütüncüoğlu Bulvari No:34, 81010 Düzce Merkez/Düzce", , ,"https://www.google.com/maps/place/Meguiar's+oto+y%C4%B1kama/@40.8438464,31.15654,14z/data=!4m9!1m3!2m2!1soto+y%C4%B1kama!6e2!3m4!1s0x409d9fe5abbc8b41:0x32cfe367faeac22a!8m2!3d40.8443963!4d31.1408503", ,Araba Yıkama,"3,8"
Happy Oto Yıkama,"Uzun Mustafa, 853. Blv., 81010 Düzce Merkez/Düzce", , ,"https://www.google.com/maps/place/Happy+Oto+Y%C4%B1kama/@40.8438464,31.15654,14z/data=!4m9!1m3!2m2!1soto+y%C4%B1kama!6e2!3m4!1s0x409d9ffc90c5f067:0x37aac126b7409e8e!8m2!3d40.846154!4d31.148398", ,Araba Yıkama,"3,0"
Arabam Oto Yıkama,"Uzun Mustafa, D100 Yanyolu, 81010 Düzce Merkez/Düzce", , ,"https://www.google.com/maps/place/Arabam+Oto+Y%C4%B1kama/@40.848141,31.1315025,14z/data=!4m9!1m3!2m2!1soto+y%C4%B1kama!6e2!3m4!1s0x409d9ffbf3a5418b:0x88f0e3f8240ac49d!8m2!3d40.848141!4d31.149012", ,Araba Yıkama, 
Onur Oto Yıkama,"Cumhuriyet, D100 Yanyolu, 81600 Düzce Merkez/Düzce", , ,"https://www.google.com/maps/place/Onur+Oto+Y%C4%B1kama/@40.8438464,31.15654,14z/data=!4m9!1m3!2m2!1soto+y%C4%B1kama!6e2!3m4!1s0x409d753990712b93:0x4b8ff35485b93b93!8m2!3d40.833953!4d31.178445", ,Araba Yıkama, 
